Use Custom Layer,Num Custom Layers,Num Filters,Regularization Factor,Epochs,Batch Size,Learning Rate,Accuracy,Loss,Training Time,Peak Memory Usage (MB),Model Complexity
True,1,32,0.001,10,64,0.001,0.9842000007629395,0.061019640415906906,56.3511700630188,484.8125,178922
False,1,32,0.001,10,64,0.001,0.9825000166893005,0.07140937447547913,54.409770011901855,130.40625,179978
True,1,32,0.001,10,64,0.01,0.9785000085830688,0.10467492789030075,54.075751066207886,197.65625,178922
False,1,32,0.001,10,64,0.01,0.9815000295639038,0.0903407484292984,54.8901481628418,212.890625,179978
True,1,32,0.001,10,128,0.001,0.986299991607666,0.05124055966734886,42.705878019332886,39.109375,178922
False,1,32,0.001,10,128,0.001,0.9840999841690063,0.0661192238330841,38.33696103096008,173.953125,179978
True,1,32,0.001,10,128,0.01,0.9819999933242798,0.0953356996178627,38.69243907928467,179.140625,178922
False,1,32,0.001,10,128,0.01,0.982699990272522,0.08494884520769119,35.39867401123047,77.21875,179978
True,1,32,0.001,20,64,0.001,0.9840999841690063,0.07483870536088943,92.16663384437561,-709.515625,178922
False,1,32,0.001,20,64,0.001,0.9858999848365784,0.07035380601882935,86.76214909553528,-605.1875,179978
True,1,32,0.001,20,64,0.01,0.9718999862670898,0.2167367935180664,89.2024278640747,-99.28125,178922
False,1,32,0.001,20,64,0.01,0.9815000295639038,0.1247631087899208,87.7772901058197,-233.671875,179978
True,1,32,0.001,20,128,0.001,0.9840999841690063,0.07871770113706589,67.81086611747742,-60.890625,178922
False,1,32,0.001,20,128,0.001,0.9850000143051147,0.06771816313266754,63.78193998336792,-42.359375,179978
True,1,32,0.001,20,128,0.01,0.9789000153541565,0.1421414464712143,65.07813620567322,-95.625,178922
False,1,32,0.001,20,128,0.01,0.9779999852180481,0.13035418093204498,61.16007089614868,440.78125,179978
True,1,32,0.01,10,64,0.001,0.9855999946594238,0.056033410131931305,44.601016998291016,238.203125,178922
False,1,32,0.01,10,64,0.001,0.9828000068664551,0.06611129641532898,41.936912059783936,-316.09375,179978
True,1,32,0.01,10,64,0.01,0.9751999974250793,0.10917084664106369,44.40299201011658,-439.671875,178922
False,1,32,0.01,10,64,0.01,0.9797000288963318,0.10978381335735321,42.16667294502258,-74.90625,179978
True,1,32,0.01,10,128,0.001,0.9847000241279602,0.05666947737336159,32.47410798072815,-109.546875,178922
False,1,32,0.01,10,128,0.001,0.9822999835014343,0.06819616258144379,31.88703727722168,233.015625,179978
True,1,32,0.01,10,128,0.01,0.9828000068664551,0.09247399866580963,31.889852285385132,-237.53125,178922
False,1,32,0.01,10,128,0.01,0.979200005531311,0.11915897578001022,30.71071720123291,323.921875,179978
True,1,32,0.01,20,64,0.001,0.9850999712944031,0.08702529221773148,84.61891102790833,-337.71875,178922
False,1,32,0.01,20,64,0.001,0.9829000234603882,0.07767651975154877,84.94600415229797,-100.578125,179978
True,1,32,0.01,20,64,0.01,0.973800003528595,0.1774330735206604,87.32378888130188,-241.984375,178922
False,1,32,0.01,20,64,0.01,0.9768999814987183,0.1722266674041748,82.8049373626709,122.46875,179978
True,1,32,0.01,20,128,0.001,0.982200026512146,0.08234985172748566,62.984214067459106,-137.4375,178922
False,1,32,0.01,20,128,0.001,0.9842000007629395,0.06526704877614975,62.603973150253296,414.46875,179978
True,1,32,0.01,20,128,0.01,0.9800000190734863,0.1378449946641922,65.24548196792603,208.578125,178922
False,1,32,0.01,20,128,0.01,0.9803000092506409,0.12271063029766083,61.08550715446472,-650.859375,179978
True,1,32,0.1,10,64,0.001,0.9848999977111816,0.0651572123169899,44.68011522293091,-133.0,178922
False,1,32,0.1,10,64,0.001,0.9779999852180481,0.08455658704042435,41.44154214859009,-156.234375,179978
